Word,Description
Pentrawng (n),hangover of one’s alcoholic drink of the previous night
Pêr (adj),"flat and thin, flat"
Per (v),"to shoot with the pellet bow, to spring up or fly back (as a springy stick, etc)"
Perbuol (n),a variety of fish
Perkhuong (n),"guitar, a hollow guitar"
Perngo (n),"low arches of split bamboo so place as to form a fencing to protect a jhoom from wild pigs, boars, etc"
Perthei (n),"pear fruit, naspati"
Perzep (v),to reserve by erecting a ‘cross-shaped’ bamboo split (done in jungles by people to signal that they had reserved that spot or portion for their next jhumland)
Pet (v),"to graze, to browse, to eat, to dribble"
Pet (v),"kick, to knock against with the lower part of the leg or with foot (eg, football)"
Pet (v),to take a right or left turn from the main path
Petek (v),going astray (especially from good to bad)
Petrol (n),petrol
Pha (v),"to spread (as cloth, etc)"
Pha (v),to deny
Pha (adv),"object of or for, cause of, meaning of, reason of or for, means of (eg. Mi thu a awi naw leiin a tuor pha an ta kha – he is now suffering as he is not heeding to advise given to him)"
Pha pek (v),to make excuse for (others)
Phahla (n),a weighing machine; a balance
Phahram (n),"the name of a reed, elephant grass"
Phai (adj),"plain, low-lying, to be or get low"
Phaiphin (n),sand
Phaiphuleng (n),"the name given to all such musical instruments such as piano, accordion, etc"
Phairuong (n),"the name of a reed which generally grows on bank of rivers, elephant grass"
Phaithak (n),ringworm
Phaivang (n),an ant
Phaivuo (n),"wind, whirlwind"
Phaizawl (n),"a plain, a low lying plain, a valley, a vale, a dale"
Phak (adj),"not yet ripe, astringent, rough (in taste)"
Phâk (v),"to reach, to be able to reach or eat, to attain to, to reach as far as, to arrive at, etc"
Phakrak (n),the sparse bamboo plait on which thatches are placed on Hmar traditional roofing
Phaktel (n),a variety of wild tree
Phal (v),"to allow, to permit, to grant, to let to be willing to give"
Phal lo (adj),"forbidden, prohibited, unlawful"
Phalbi (n),"winter, the winter"
Phalna (n),permission
Phàm (v),"enjoy, to take pleasure in"
Phan (v),"to knit, to weave"
Phân (adj),not thick
Phar (v),"to spread out or hold out (the arms or hands on either side), to straighten (the arm), to lift or hold up (the arm), to spread out or open out (as cloth, etc)"
Phâr (n),"leprosy, a leper"
Phatsan (v),"to desert, to forsake, to betray and leave"
Phaw (n),a shield
Phawi (v),"to pull out, to extract"
Phawk (v),"to lift up (when searching something), to turn over"
Phawk (adj),"coarse, rough; jovial, fond of joking"
Phawk (v),to discretely find out someone
Phawklek (v),to be unsettled in one’s mind and therefore unable to apply oneself to work
Phawn (n),phone
Phawngphawdetdet (n),name of a small insect
Phawr (v),"to take out, to exhume, to reveal"
Phawrdawk (v),"to take out, to exhume, to reveal"
Phawrsuok (v),"to take out, to exhume, to reveal"
Phawt (adv),certainly (mostly used in affirmative sentences)
Phawt chun (cnjn),"if, if so be, if only"
Phe (v),"twinkling, to flash"
Phei (adj),"level, flat, to go along level ground, to go straight on without going up or down, (adv) horizontally, evenly, neither up nor down"
Pheikei (n),"name of a trap especially for catching rats, wild fowls, pheasants, etc"
Pheikhai (v),poetical term for the foot
Pheikhok (n),"a boot, a shoe, a clog"
Pheikhok hlo (n),boot polish
Pheikhok nawtna (n),a shoe brush
Pheiphit (n),a simple musical instrument made from bamboo
Pheiphung (n),poetical word for the upper leg or thigh
Pheisam (n),the name of a one-legged ghost (evil spirit) believes to exist in the pre-Christian era Hmar society
Pheisam man (adj),"winning a ‘pheisam’, caught hold of ‘pheisam’ or a sudden and unexpected luck or prosperity (Pheisam - a one-legged ghost often falls down while walking. Those kind hearted human who help him stand up to walk again are blessed with whatever things they wish for. Hence, the term ‘pheisam man’ is coined when someone who unexpectedly and in a short period of time becomes rich."
Pheivon (n),the leather strap used in hand weaving
Phek (adj),"flat and thin; a page, a sheet, a slice, a slab, to be flat and thin"
Phekphe (n),name of a tree
Phel (v),"to split, to cut in halves"
Phen (v),to open up
Phen (adj),"to get behind, to take shelter behind"
Phen phun (adv),messy
Phenah (adv),"in shelter of, under the lee of, behind"
Pheng (v),to be in pain and about to cry
Pher (n),a mat
Pherh (adj),scattered here and there
Pherphek (n),the name of a bamboo mat
Pherthing (n),name of wild tree
Phet thlu (v),to pull down from the bottom
Pheu pheu (adv),"sparsely, here and there"
Phi (v),to wash (the face)
Phiengsen (adj),"a strong word expressing anger, scorn, etc"
Phier (v),"to knit, to plait, to be entangled (hair), to plan against, to conspire against (human)"
Phierhnungkhir (v),to bind or tie the hands behind the back
Phierru (v),"to plot against secretly, to conspire secretly"
Phierrukna (n),conspiracy
Phihli (adj),busy
Phikhawi (n),"the main accuse, the culprit"
Phil (v),"to steal and kill an animal or fowls, etc for eating or sacrifice, to murder secretly, to assassinate"
Phing (n),"the abdomen, the belly"
Phingbel (adj),pot belly
Phingna (adj),stomached
Phingpui (n),the stomach
Phingpuina (n),gastroenteritis
Phingsip (n),"a stomach or bowel disorder, a gastric problem"
Phingtram (adj),"hungry, hunger, to be hungry"
Phir (v),"to forked, to gore, to pierce"
Phîr (n),"twin, double"
Phit (adj),"powder, scurf, (n) powdery, finely powdered, floury"
Phît (v),to sweep (using broom)
Phita (n),the mantle of a lamp
Phok (v),"to lift up on end, to raise, to turn over (as page of book, etc)"
Phok (adj),coarse or rough in nature and behaviour (human)
Pholang (v),"to expose, to bring out in the open"
Pholeng (n),a landmark
Pholeng tar (v),to make or set up a landmark
Phong (v),"to take off (as a cover, hat, etc), to come or fall off, to open up a bit"
Phor (v),"to take out, to exhume"
Phordawk (v),"to take out, to exhume, to reveal"
Phorsuok (v),"to take out, to exhume, to reveal"
Phot (adv),"certainly; for a moment, for a while; temporarily"
Phot chun (cnjn),"if, if so be, if only"
Phu (adj),"suitable, to suit, worthy, deserved, to be suited"
Phu (v),"to beat (as heart, etc)"
Phu lo (adj),"unsuitable, to be unworthy, unsustainable"
Phu zok (adv),"to be surprised or startled, to jump with surprise"
Phuba (n),"revenge, retribution, vengeance"
Phuba lak (v),"to avenge, to take revenge, vengeance"
Phuhlip (n),"scales (of fish, sores, etc)"
Phuhlum (n),a variety of winged ant
Phuhruk (v),"to fill in, to relieve or supply (an immediate or specific want)"
Phui (adj),"closely woven, free from holes, airtight to be closely woven, etc., firmly, thoroughly, closely, etc"
Phuibim (n),name of a red flower plant that grows among wild shrubs
Phuisui (adv),"in a systematic manner, in a proper way; prosperous"
Phul (v),to sprinkle
Phul (n),"to froth, to bubble up, to effervesce"
Phûl (n),an open tract of country generally covered with grass and with few or no trees
Phûl ruo (n),the name of a species of bamboo
Phûm (v),"to bury, to dip"
Phun (v),"to plant, to set up by burying one end in the ground"
Phun (v),"to mutter, to murmur, to talk to one's self, to grumble, to find fault with"
Phunchier (adj),"grumbling, complaining"
Phunchong (n),the name of a tree yielding a cotton reel flower that mostly grows on flat and plain areas and often regard as a by-product of obedience
Phung (adj),ordinary
Phûng (n),a cruel one-eyed she ghost believes to have a peculiar physique that used to walk on top of large trees in the deep jungles
Phung le chang (n),blood relatives
Phûng zawl (n),"those believes to be harmed by ‘phung’; an epilepsy, a person subject to epileptic fits, to have an epileptic fit"
Phungbawm (v),"to help, to assist, to succour"
Phungleng (adj),ordinary friends and relatives
Phungpuinu (n),"the mother of ghost, etc"
Phungruol (n),near and dear ones by blood or by being a neighbour
Phungsor (v),shaking or rolling in uneven and rough manner
Phunnawi (v),"to whisper, to mutter, to murmur, to talk to one's self"
Phuoi (n),the dust particles prepared to lit a fire; saw dust
Phuoithing (n),a variety of wild tree
Phuok (v),"to compose, to make up, to name"
Phuokfawm (v),"make up (out of one’s own mind) to compose, to improvise"
Phuoktu (n),"one who composes (a song), a composer"
Phuon (n),"froth, lather, scum, foam, (v) to froth, etc"
Phuor (n),"tighten, of being under severance or set aside"
Phur (v),to carry on the back (as load)
Phûr (v),cutting down (of a tree)
Phür (n),"eager, enthusiastic"
Phurledoinkei hun (n),the time during May (thlaphur) & June (thlado) and an important period for a Hmar jhum cycle
Phurledoinkei ruo (n),a rain that falls during May (thlaphur) & June (thlado)
Phurrik (adj),"burden, a heavy load"
Phusa (n),"a ringleader, main player of any event or situation"
Phut (n),"beginning, start"
Phut (adv),"suddenly happening, unexpected"
Phût (v),"to demand, to ask for, to hint at"
Phûtlui (adv),"to demand forcefully, to force into service"
Phutrani (v),"to boast of, to brag, show off, talk big"
Pi (n),"a grandmother, a maternal uncle's wife or daughter; madam, term use to show respect to women"
Pi le pu (n),"grandmothers and grandfathers, forefathers, ancestors"
Pi pe sainawka (n),the name of girl’s play
Piellei (n),"poetical term for earth, soil"
Piellung (n),the barrel (of a gun)
Pielral (n),the paradise
Pielte (n),the name of a fruit bearing plant
Pieltel (n),a Hmar Khawlhring sub clan
Pielthleng (n),a large flat and slippery rock
Pieltlep (n),a large smooth rock
Pieltu (n),a sub clan under Hmar Lawitlang Sungte
Pieng (v),born
Pieng dan (n),"shape, mode, figure"
Pieng le murna (adv),parents or predecessor; where one is born and grows up
Piengchampha (n),birthday
Piengken (n),"that which one is innate, inborn"
Piengna ram (n),"native land, motherland"
Piengphung (n),physique
Piengphunga ruol banlo (n),"handicapped, disabled (differently able)"
Piengpui (n),same blood brother or sister
Piengsuol (n),"maimed, deformed"
Piengthar (v),born again (a term originated and common with Christian faith)
Piengvo (n),"rights, one’s rights, privileges, human rights"
Pik (adj),thick
Pikhawi (n),"problematic, difficulty, etc"
Pikhuoizu (n),the name of a species of fly
Piknik (v),picnic
Pil (n),"soil, earth"
Pil (v),to sink
Pil tlang (n),"a clot, a lump of earth"
Pilhmang (v),to disappear from sight
Pilpok (n),"clay, mud"
Pilril (adj),remote
Pilso (n),"a soft soil produced by ‘leithra’, a small white ant"
Pilvut (n),dust
Pilvut khu (n),dust (suspended in the air)
Pin (n),a safety pin
Pindan (n),"a room, a cabin, a chamber"
Ping (adj),"closed up, to close up, to be closed up, free from holes"
Pingpi (n),a variety of adlay millet or Job’s tears
Pipu (n),a swing
Pir (v),to take a small quantity of anything with the finger or knife
Piring (n),a small conical land snail
Pisa (n),office
Pisaumbur (n),name of a small grass plant or sedges
Pistol (n),pistol
Pit (v),spit (of saliva)
Pit (n),the name of a small bird
Pitar (n),"an old woman, to become an old woman"
Piu (adj),a measurement equal to the width from the thumb to the tip of middle or ring fingers
Plot (n),"a measurement of land of approximately 2400 square feet or 0.0551 acres and which is prevalent among Hmars of Manipur, Mizoram, Meghalaya, etc"
Po (adj),"that much, this much"
Po po (adj),"all whole, every, entire"
Poi (adj),"regretful, pitiful"
Poi (v),to be regretful
Poi tawk (v),"to do harm, to hurt someone, to do mischievous, to harm"
Poi tawk lo (adj),"harmless, innocent"
Poi ti (v),"to feel sorry, to be sorry, to regret"
Poimaw (adj),"important, necessary, etc"
Point (n),point
Poisa (n),"a pie, see paisa"
Poisa (v),"to take heed to, to respect, to mind, to regard"
Poisa lo (v),"to disregard, to not heed to, to not respect"
Pok (adj),"soft, not hard"
Pol (v),to mix
Pom (v),"to embrace, to take hold of, to accept, to obey, to give heed to"
Pom hlum (v),to hold or be with till death but refer to tend to someone (parents) till death
Pom tlei (v),to nurse and bring up (a child)
Pompui (v),to agree with
Pomzam (v),to agree or accept without much consideration
Pop (adj),"having a hole, perforated"
Por (adj),"unkempt, rough, muddy"
Porche (adj),untidy
Pot (v),"to pull, to drag"
Pot chat (v),"to pull and break (a thread, wire)"
Pot fan (v),"to pull and stretch (an elastic, a rubber)"
Pot sie (v),to destroy by pulling (a paper)
Pot thler (v),"to tear, to split, to rip up (a cloth, etc)"
Pothang Bekari (n),a British’s imposed tax system to the tribal peoples of Manipur wherein villagers in the hills had to carry the goods and luggage of government officials free of cost while they were on tour to the areas. In case of refusal they whipped the villagers and forced to carry the loads (pot=materials or things; thang=carry). Lushai-Mizos called it as ‘Fathang’.
Pothang Senkhai (n),a British’s imposed tax system to the tribal peoples of Manipur wherein villagers in the hills had to contribute money to feed touring officials and other employees of the Government in their areas
Presbytery (n),presbytery
President (n),president
Prokram (n),"programme, program"
Pu (n),"a grandfather, great grandfather, a wife's male relation, a maternal uncle's son, a maternal uncle, one in charge of anyone or anything"
Pu (n),sir
Pu inhawn (n),a bride price meant for the maternal grandfather or uncle of the bride paid in the initial stage
Pu zu (n),a traditional wine or rice beer offered to public by the maternal uncles of a deceased
Pudaite (n),a Hmar Leiri sub clan
Pudina (n),the garden mint
Puhnuongte (n),a Hmar Leiri sub clan
Pui (adj),"large, big"
Pui (adj),"a term generally used for female/she animals, birds, etc, after having had young ones"
Puibawm (v),"to help, to assist"
Puikurung (n),"the matriarch, the senior and older female member (of family, society, etc)"
